Career,Required_Skills,description,image,learn_link
Frontend Developer,HTML,CSS,JavaScript,React,Git,Responsive Design,Create frontend UI using modern frameworks.,<a href="https://www.flaticon.com/free-icons/web-development" title="web development icons">Web development icons created by surang - Flaticon</a>,https://youtu.be/jgfq8OybWZQ?si=ZE-3zLm0ESaeySFv
Backend Developer,Java,Python,Node.js,SQL,APIs,Git,Builds and maintains the server-side logic and databases for web applications.,[Placeholder: Icon of a Server],http://www.youtube.com/playlist?list=PLWKjhJtqVAbn21gs5UnLhCQ82f923WCgM
Full Stack Developer,HTML,CSS,JavaScript,React,Node.js,SQL,Manages and develops both the front-end (UI) and back-end (server logic) of an application.,[Placeholder: Icon of a complete Web Stack],http://www.youtube.com/playlist?list=PLwoh6bBAszPrES-EOajos_E9gvRbL27wz
AI Engineer,Python,Machine Learning,Deep Learning,NLP,TensorFlow,PyTorch,Design and build advanced technical systems and solutions.,[Placeholder: Icon for AI Engineer],[Placeholder: Learn link for AI Engineer]
Data Scientist,Python,R,Statistics,Machine Learning,Pandas,NumPy,Analyze data and build predictive ML models.,https://cdn-icons-png.flaticon.com/512/4207/4207253.png,https://www.youtube.com/playlist?list=PLQY2H8rRoyvzDbLUZkbudP-MFQZwNmU4S
Data Analyst,Excel,SQL,Python,Tableau,Power BI,Statistics,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Data Analyst],[Placeholder: Learn link for Data Analyst]
Machine Learning Engineer,Python,TensorFlow,PyTorch,ML Algorithms,Data Processing,Design and build advanced technical systems and solutions.,[Placeholder: Icon for Machine Learning Engineer],[Placeholder: Learn link for Machine Learning Engineer]
Business Analyst,Excel,SQL,Power BI,Communication,Problem Solving,Perform specialized tasks related to Business.,[Placeholder: Icon for Business Analyst],[Placeholder: Learn link for Business Analyst]
UI/UX Designer,Figma,Adobe XD,Wireframing,Prototyping,Design Thinking,Focus on user experience and the visual design of digital products.,[Placeholder: Icon for UI/UX Designer],[Placeholder: Learn link for UI/UX Designer]
Mobile App Developer,Java,Kotlin,Swift,Flutter,React Native,Git,Perform specialized tasks related to Mobile App.,[Placeholder: Icon for Mobile App Developer],[Placeholder: Learn link for Mobile App Developer]
Cybersecurity Analyst,Network Security,Python,Ethical Hacking,Firewalls,Risk Assessment,Perform specialized tasks related to Cybersecurity.,[Placeholder: Icon for Cybersecurity Analyst],[Placeholder: Learn link for Cybersecurity Analyst]
Cloud Engineer,AWS,Azure,GCP,Docker,Kubernetes,Networking,Manage and automate infrastructure, deployment, and cloud services.,[Placeholder: Icon for Cloud Engineer],[Placeholder: Learn link for Cloud Engineer]
DevOps Engineer,Jenkins,Docker,Kubernetes,Linux,Git,CI/CD,Manage and automate infrastructure, deployment, and cloud services.,[Placeholder: Icon for DevOps Engineer],[Placeholder: Learn link for DevOps Engineer]
Software Tester,Selenium,Java,Python,Manual Testing,Automation Testing,Ensure software quality by identifying and reporting defects.,[Placeholder: Icon for Software Tester],[Placeholder: Learn link for Software Tester]
Game Developer,C++,Unity,Unreal Engine,3D Modeling,Animation,Design and program interactive games and digital experiences.,[Placeholder: Icon for Game Developer],[Placeholder: Learn link for Game Developer]
Blockchain Developer,Solidity,Ethereum,Smart Contracts,Web3.js,Cryptography,Perform specialized tasks related to Blockchain.,[Placeholder: Icon for Blockchain Developer],[Placeholder: Learn link for Blockchain Developer]
IoT Developer,Python,Arduino,Raspberry Pi,Sensors,Networking,Perform specialized tasks related to IoT.,[Placeholder: Icon for IoT Developer],[Placeholder: Learn link for IoT Developer]
Embedded Systems Engineer,C,C++,Microcontrollers,Electronics,RTOS,Write specialized software for hardware systems and microcontrollers.,[Placeholder: Icon for Embedded Systems Engineer],[Placeholder: Learn link for Embedded Systems Engineer]
Robotics Engineer,Python,ROS,Sensors,Electronics,Machine Learning,Design and program mechanical and automated systems (robots).,[Placeholder: Icon for Robotics Engineer],[Placeholder: Learn link for Robotics Engineer]
SEO Specialist,Google Analytics,Keyword Research,SEO Tools,HTML,Content Strategy,Perform specialized tasks related to SEO.,[Placeholder: Icon for SEO Specialist],[Placeholder: Learn link for SEO Specialist]
Digital Marketer,SEO,Social Media,Google Ads,Content Marketing,Analytics,Develop and execute strategies to promote products or services to target audiences.,[Placeholder: Icon for Digital Marketer],[Placeholder: Learn link for Digital Marketer]
Content Writer,SEO,Grammarly,Research,Creativity,Blogging,Create and manage engaging and relevant written or visual material.,[Placeholder: Icon for Content Writer],[Placeholder: Learn link for Content Writer]
Graphic Designer,Photoshop,Illustrator,CorelDraw,Creativity,Typography,Focus on user experience and the visual design of digital products.,[Placeholder: Icon for Graphic Designer],[Placeholder: Learn link for Graphic Designer]
Animator,After Effects,Blender,3D Modeling,Storyboarding,Creativity,Perform specialized tasks related to Animator.,[Placeholder: Icon for Animator],[Placeholder: Learn link for Animator]
Video Editor,Premiere Pro,After Effects,Final Cut,Storytelling,Creativity,Perform specialized tasks related to Video.,[Placeholder: Icon for Video Editor],[Placeholder: Learn link for Video Editor]
Social Media Manager,Content Creation,Analytics,SEO,Communication,Scheduling Tools,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for Social Media Manager],[Placeholder: Learn link for Social Media Manager]
Product Manager,Agile,Jira,Communication,Roadmap Planning,UX Knowledge,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for Product Manager],[Placeholder: Learn link for Product Manager]
Project Manager,MS Project,Agile,Communication,Risk Management,Leadership,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for Project Manager],[Placeholder: Learn link for Project Manager]
Network Engineer,Networking,Cisco,Troubleshooting,Firewalls,Security,Design and build advanced technical systems and solutions.,[Placeholder: Icon for Network Engineer],[Placeholder: Learn link for Network Engineer]
System Administrator,Linux,Windows Server,Networking,Troubleshooting,Security,Perform specialized tasks related to System.,[Placeholder: Icon for System Administrator],[Placeholder: Learn link for System Administrator]
IT Support Specialist,Troubleshooting,Communication,Windows,Networking,Ticketing Systems,Perform specialized tasks related to IT Support.,[Placeholder: Icon for IT Support Specialist],[Placeholder: Learn link for IT Support Specialist]
Cloud Architect,AWS,Azure,GCP,Cloud Security,Architecture Design,Manage and automate infrastructure, deployment, and cloud services.,[Placeholder: Icon for Cloud Architect],[Placeholder: Learn link for Cloud Architect]
Cybersecurity Engineer,Ethical Hacking,Network Security,Python,Penetration Testing,Design and build advanced technical systems and solutions.,[Placeholder: Icon for Cybersecurity Engineer],[Placeholder: Learn link for Cybersecurity Engineer]
Data Engineer,Python,SQL,ETL,Big Data,Spark,Build and maintain data pipelines and infrastructure for large-scale data processing.,[Placeholder: Icon for Data Engineer],[Placeholder: Learn link for Data Engineer]
AI Researcher,Python,Machine Learning,Deep Learning,Research,Mathematics,Perform specialized tasks related to AI.,[Placeholder: Icon for AI Researcher],[Placeholder: Learn link for AI Researcher]
Computer Vision Engineer,Python,OpenCV,TensorFlow,Deep Learning,Image Processing,Design and build advanced technical systems and solutions.,[Placeholder: Icon for Computer Vision Engineer],[Placeholder: Learn link for Computer Vision Engineer]
NLP Engineer,Python,NLP,Machine Learning,Transformers,Text Analysis,Design and build advanced technical systems and solutions.,[Placeholder: Icon for NLP Engineer],[Placeholder: Learn link for NLP Engineer]
Database Administrator,SQL,Oracle,MySQL,Performance Tuning,Backup & Recovery,Perform specialized tasks related to Database.,[Placeholder: Icon for Database Administrator],[Placeholder: Learn link for Database Administrator]
SAP Consultant,SAP Modules,ERP,Finance,Supply Chain,Customization,Perform specialized tasks related to SAP.,[Placeholder: Icon for SAP Consultant],[Placeholder: Learn link for SAP Consultant]
CRM Specialist,Salesforce,Zoho,HubSpot,Communication,Customer Data Management,Perform specialized tasks related to CRM.,[Placeholder: Icon for CRM Specialist],[Placeholder: Learn link for CRM Specialist]
Ethical Hacker,Python,Kali Linux,Penetration Testing,Networking,Security,Protect systems and networks by testing for and mitigating vulnerabilities.,[Placeholder: Icon for Ethical Hacker],[Placeholder: Learn link for Ethical Hacker]
QA Analyst,Manual Testing,Automation Testing,Selenium,Jira,Test Cases,Perform specialized tasks related to QA.,[Placeholder: Icon for QA Analyst],[Placeholder: Learn link for QA Analyst]
Game Designer,Creativity,Unity,Storyboarding,C#,Animation,Design and program interactive games and digital experiences.,[Placeholder: Icon for Game Designer],[Placeholder: Learn link for Game Designer]
AR/VR Developer,Unity,C#,3D Modeling,Blender,VR/AR SDK,Perform specialized tasks related to AR/VR.,[Placeholder: Icon for AR/VR Developer],[Placeholder: Learn link for AR/VR Developer]
IoT Security Expert,Networking,Python,Security,Sensors,Embedded Systems,Protect systems and networks by testing for and mitigating vulnerabilities.,[Placeholder: Icon for IoT Security Expert],[Placeholder: Learn link for IoT Security Expert]
Mobile Game Developer,Unity,C#,Animation,Storytelling,Monetization,Design and program interactive games and digital experiences.,[Placeholder: Icon for Mobile Game Developer],[Placeholder: Learn link for Mobile Game Developer]
Voice UI Designer,Speech Recognition,UX Design,Python,AI,Prototyping,Focus on user experience and the visual design of digital products.,[Placeholder: Icon for Voice UI Designer],[Placeholder: Learn link for Voice UI Designer]
Penetration Tester,Ethical Hacking,Networking,Python,Security Tools,Reporting,Perform specialized tasks related to Penetration.,[Placeholder: Icon for Penetration Tester],[Placeholder: Learn link for Penetration Tester]
Digital Illustrator,Photoshop,Illustrator,Drawing,Creativity,Typography,Perform specialized tasks related to Digital Illustrator.,[Placeholder: Icon for Digital Illustrator],[Placeholder: Learn link for Digital Illustrator]
3D Modeler,Blender,Maya,3D Modeling,Texturing,Animation,Perform specialized tasks related to 3D Modeler.,[Placeholder: Icon for 3D Modeler],[Placeholder: Learn link for 3D Modeler]
Hardware Engineer,Electronics,PCB Design,Microcontrollers,Testing,Troubleshooting,Design and build advanced technical systems and solutions.,[Placeholder: Icon for Hardware Engineer],[Placeholder: Learn link for Hardware Engineer]
Firmware Engineer,C,C++,Embedded Systems,Debugging,RTOS,Write specialized software for hardware systems and microcontrollers.,[Placeholder: Icon for Firmware Engineer],[Placeholder: Learn link for Firmware Engineer]
IT Auditor,Compliance,Risk Assessment,IT Controls,Security,Networking,Perform specialized tasks related to IT Auditor.,[Placeholder: Icon for IT Auditor],[Placeholder: Learn link for IT Auditor]
SEO Analyst,Google Analytics,Keywords,SEO Tools,Content Optimization,Perform specialized tasks related to SEO.,[Placeholder: Icon for SEO Analyst],[Placeholder: Learn link for SEO Analyst]
Marketing Analyst,Excel,SQL,Tableau,Analytics,Communication,Perform specialized tasks related to Marketing.,[Placeholder: Icon for Marketing Analyst],[Placeholder: Learn link for Marketing Analyst]
Brand Manager,Marketing,Creativity,Communication,Research,Strategy,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for Brand Manager],[Placeholder: Learn link for Brand Manager]
UX Researcher,Figma,User Testing,Surveys,Research,Analysis,Perform specialized tasks related to UX.,[Placeholder: Icon for UX Researcher],[Placeholder: Learn link for UX Researcher]
UI Designer,Figma,Adobe XD,Prototyping,Creativity,Interaction Design,Focus on user experience and the visual design of digital products.,[Placeholder: Icon for UI Designer],[Placeholder: Learn link for UI Designer]
E-commerce Manager,Shopify,WooCommerce,SEO,Analytics,Marketing,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for E-commerce Manager],[Placeholder: Learn link for E-commerce Manager]
Affiliate Marketer,SEO,Marketing,Analytics,Communication,Tools,Develop and execute strategies to promote products or services to target audiences.,[Placeholder: Icon for Affiliate Marketer],[Placeholder: Learn link for Affiliate Marketer]
Technical Writer,Writing,Research,Documentation,Communication,Tools,Create and manage engaging and relevant written or visual material.,[Placeholder: Icon for Technical Writer],[Placeholder: Learn link for Technical Writer]
Blog Writer,SEO,Writing,Research,Creativity,WordPress,Create and manage engaging and relevant written or visual material.,[Placeholder: Icon for Blog Writer],[Placeholder: Learn link for Blog Writer]
Copywriter,Writing,Creativity,Marketing,Communication,Advertising,Create and manage engaging and relevant written or visual material.,[Placeholder: Icon for Copywriter],[Placeholder: Learn link for Copywriter]
Email Marketer,Email Tools,Copywriting,Analytics,Segmentation,Campaign Management,Develop and execute strategies to promote products or services to target audiences.,[Placeholder: Icon for Email Marketer],[Placeholder: Learn link for Email Marketer]
Influencer Marketing Specialist,Social Media,SEO,Communication,Analytics,Collaboration,Develop and execute strategies to promote products or services to target audiences.,[Placeholder: Icon for Influencer Marketing Specialist],[Placeholder: Learn link for Influencer Marketing Specialist]
UX Strategist,UX Design,Research,Figma,Problem Solving,Analytics,Perform specialized tasks related to UX.,[Placeholder: Icon for UX Strategist],[Placeholder: Learn link for UX Strategist]
Web Analyst,Google Analytics,SEO,Data Analysis,SQL,Reporting,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Web Analyst],[Placeholder: Learn link for Web Analyst]
Performance Marketing Specialist,Google Ads,Analytics,SEO,Marketing,Campaigns,Develop and execute strategies to promote products or services to target audiences.,[Placeholder: Icon for Performance Marketing Specialist],[Placeholder: Learn link for Performance Marketing Specialist]
Content Strategist,Writing,SEO,Research,Planning,Marketing,Create and manage engaging and relevant written or visual material.,[Placeholder: Icon for Content Strategist],[Placeholder: Learn link for Content Strategist]
Conversion Rate Optimizer,Analytics,UX,A/B Testing,SEO,Marketing,Perform specialized tasks related to Conversion Rate.,[Placeholder: Icon for Conversion Rate Optimizer],[Placeholder: Learn link for Conversion Rate Optimizer]
AI Product Manager,AI Concepts,ML,Roadmaps,Communication,Product Design,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for AI Product Manager],[Placeholder: Learn link for AI Product Manager]
Robotics Programmer,Python,ROS,C++,Electronics,Sensors,Design and program mechanical and automated systems (robots).,[Placeholder: Icon for Robotics Programmer],[Placeholder: Learn link for Robotics Programmer]
Embedded Firmware Developer,C,C++,Embedded Systems,Electronics,RTOS,Write specialized software for hardware systems and microcontrollers.,[Placeholder: Icon for Embedded Firmware Developer],[Placeholder: Learn link for Embedded Firmware Developer]
Big Data Engineer,Hadoop,Spark,SQL,Python,Data Pipelines,Build and maintain data pipelines and infrastructure for large-scale data processing.,[Placeholder: Icon for Big Data Engineer],[Placeholder: Learn link for Big Data Engineer]
Data Architect,SQL,Data Modeling,Python,ETL,Big Data Tools,Design and implement the structure of an organization's data systems.,[Placeholder: Icon for Data Architect],[Placeholder: Learn link for Data Architect]
Statistician,Statistics,R,Excel,Data Analysis,Probability,Perform specialized tasks related to Statistician.,[Placeholder: Icon for Statistician],[Placeholder: Learn link for Statistician]
Operations Analyst,Excel,SQL,Analytics,Problem Solving,Reporting,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Operations Analyst],[Placeholder: Learn link for Operations Analyst]
Financial Analyst,Excel,Finance,Accounting,Analytics,Modeling,Perform specialized tasks related to Financial.,[Placeholder: Icon for Financial Analyst],[Placeholder: Learn link for Financial Analyst]
Investment Analyst,Finance,Excel,Research,Modeling,Analysis,Perform specialized tasks related to Investment.,[Placeholder: Icon for Investment Analyst],[Placeholder: Learn link for Investment Analyst]
Actuary,Statistics,Excel,Risk Analysis,Probability,Modeling,Perform specialized tasks related to Actuary.,[Placeholder: Icon for Actuary],[Placeholder: Learn link for Actuary]
Risk Analyst,Risk Management,Excel,Analytics,Finance,Reporting,Perform specialized tasks related to Risk.,[Placeholder: Icon for Risk Analyst],[Placeholder: Learn link for Risk Analyst]
Insurance Analyst,Insurance Knowledge,Excel,Analytics,Reporting,Communication,Perform specialized tasks related to Insurance.,[Placeholder: Icon for Insurance Analyst],[Placeholder: Learn link for Insurance Analyst]
Healthcare Analyst,Excel,SQL,Healthcare Data,Analytics,Reporting,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Healthcare Analyst],[Placeholder: Learn link for Healthcare Analyst]
Clinical Data Analyst,SQL,Excel,Healthcare,Analytics,Reporting,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Clinical Data Analyst],[Placeholder: Learn link for Clinical Data Analyst]
Pharmacovigilance Specialist,Clinical Knowledge,Reporting,Excel,Analytics,Compliance,Perform specialized tasks related to Pharmacovigilance.,[Placeholder: Icon for Pharmacovigilance Specialist],[Placeholder: Learn link for Pharmacovigilance Specialist]
Bioinformatics Specialist,Python,R,Genetics,Statistics,Data Analysis,Perform specialized tasks related to Bioinformatics.,[Placeholder: Icon for Bioinformatics Specialist],[Placeholder: Learn link for Bioinformatics Specialist]
Chemist Analyst,Chemistry Knowledge,Lab Work,Excel,Reporting,Analysis,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Chemist Analyst],[Placeholder: Learn link for Chemist Analyst]
Lab Technician,Lab Skills,Safety,Reporting,Testing,Documentation,Perform specialized tasks related to Lab.,[Placeholder: Icon for Lab Technician],[Placeholder: Learn link for Lab Technician]
Supply Chain Analyst,Excel,SQL,Analytics,Logistics,Reporting,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Supply Chain Analyst],[Placeholder: Learn link for Supply Chain Analyst]
Procurement Analyst,Excel,Analytics,Negotiation,Supply Chain,Reporting,Collect, process, and analyze data to find actionable insights.,[Placeholder: Icon for Procurement Analyst],[Placeholder: Learn link for Procurement Analyst]
Logistics Manager,Logistics,Planning,Excel,Analytics,Coordination,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for Logistics Manager],[Placeholder: Learn link for Logistics Manager]
Operations Manager,Planning,Coordination,Analytics,Communication,Problem Solving,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for Operations Manager],[Placeholder: Learn link for Operations Manager]
HR Specialist,Recruitment,HR Tools,Communication,Payroll,Policies,Perform specialized tasks related to HR.,[Placeholder: Icon for HR Specialist],[Placeholder: Learn link for HR Specialist]
HR Manager,HR Policies,Recruitment,Payroll,Communication,Leadership,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for HR Manager],[Placeholder: Learn link for HR Manager]
Talent Acquisition Specialist,Recruitment,Sourcing,Communication,Analytics,Interviewing,Develop and execute strategies to promote products or services to target audiences.,[Placeholder: Icon for Talent Acquisition Specialist],[Placeholder: Learn link for Talent Acquisition Specialist]
Learning & Development Specialist,Training,Communication,Planning,Content Creation,Analytics,Develop and execute strategies to promote products or services to target audiences.,[Placeholder: Icon for Learning & Development Specialist],[Placeholder: Learn link for Learning & Development Specialist]
Career Counselor,Counseling,Communication,Psychology,Planning,Guidance,Perform specialized tasks related to Career.,[Placeholder: Icon for Career Counselor],[Placeholder: Learn link for Career Counselor]
Teacher,Subject Knowledge,Communication,Teaching Skills,Planning,Patience,Perform specialized tasks related to Teacher.,[Placeholder: Icon for Teacher],[Placeholder: Learn link for Teacher]
Professor,Subject Expertise,Research,Teaching,Communication,Mentoring,Perform specialized tasks related to Professor.,[Placeholder: Icon for Professor],[Placeholder: Learn link for Professor]
Entrepreneur,Business Knowledge,Marketing,Finance,Leadership,Risk-Taking,Oversee and coordinate teams or projects to meet business objectives.,[Placeholder: Icon for Entrepreneur],[Placeholder: Learn link for Entrepreneur]
