Career,Required_Skills,Image,Description,Learn_Link,Salary
Frontend Developer,"HTML,CSS,JavaScript,React,Git,Responsive Design",https://cdn-icons-png.flaticon.com/512/5047/5047314.png,Creates responsive and interactive websites using modern frontend technologies.,https://youtu.be/jgfq8OybWZQ?si=vTVemY1YwPyQ4vd3,6-10 LPA
Backend Developer,"Java,Python,Node.js,SQL,APIs,Git",https://cdn-icons-png.flaticon.com/512/4661/4661260.png,"Handles server-side logic, databases, and APIs for secure applications.",https://youtu.be/vfaRzV3P92o?si=mYifRBACMu_vJ3ou,7-12 LPA
Full Stack Developer,"HTML,CSS,JavaScript,React,Node.js,SQL",https://cdn-icons-png.flaticon.com/512/13540/13540845.png,Builds complete web applications by working on both frontend and backend.,https://youtu.be/HVjjoMvutj4?si=zGlgyRx-TwxxuJNE,8-14 LPA
AI Engineer,"Python,Machine Learning,Deep Learning,NLP,TensorFlow,PyTorch",https://cdn-icons-png.flaticon.com/512/6749/6749984.png,Develops intelligent systems using machine learning and deep learning.,https://youtu.be/9tbaiFIm0HU?si=lGs6GpP6WD4k48NU,10-20 LPA
Data Scientist,"Python,R,Statistics,Machine Learning,Pandas,NumPy",https://cdn-icons-png.flaticon.com/512/4241/4241497.png,Analyzes data to find insights and build predictive models.,https://youtu.be/gDZ6czwuQ18?si=gbq12TGPLLXdvW8_,10-18 LPA
Data Analyst,"Excel,SQL,Python,Tableau,Power BI,Statistics",https://cdn-icons-png.flaticon.com/512/7403/7403270.png,"Interprets data using tools like Excel, SQL, and visualization platforms.",https://youtu.be/VaSjiJMrq24?si=uN5qMR7EAgo_O42H,5-9 LPA
Machine Learning Engineer,"Python,TensorFlow,PyTorch,ML Algorithms,Data Processing",https://cdn-icons-png.flaticon.com/512/4413/4413451.png,Builds and deploys machine learning models at production scale.,https://www.youtube.com/live/Mo9nBd1Qqyg?si=Chqg2m4ndtDo0a5y,10-18 LPA
Business Analyst,"Excel,SQL,Power BI,Communication,Problem Solving",https://cdn-icons-png.flaticon.com/512/5726/5726778.png,Analyzes business data to improve processes and decision making.,https://www.youtube.com/live/6zI7kNKniEE?si=nyuizwg3jFXZB7V1,6-10 LPA
UI/UX Designer,"Figma,Adobe XD,Wireframing,Prototyping,Design Thinking",https://cdn-icons-png.flaticon.com/512/8407/8407535.png,Designs user-friendly interfaces and improves user experience.,https://www.youtube.com/watch?v=MBblN98-5lg,5-10 LPA
Mobile App Developer,"Java,Kotlin,Swift,Flutter,React Native,Git",https://cdn-icons-png.flaticon.com/512/7075/7075373.png,Develops mobile applications for Android and iOS platforms.,https://youtu.be/NMOdEHyMXBo?si=GmYm8NlO_SKjTTR-,7-12 LPA
Cybersecurity Analyst,"Network Security,Python,Ethical Hacking,Firewalls,Risk Assessment",https://cdn-icons-png.flaticon.com/512/15097/15097060.png,Protects systems and networks from cyber security threats.,https://www.udemy.com/course/the-complete-hands-on-cybersecurity-analyst-course/?utm_campaign=Search_Keyword_Beta_Prof_la.ES_cc.ROW-Spanish&utm_source=google&utm_medium=paid-search&portfolio=ROW-Spanish&utm_audience=mx&utm_tactic=nb&utm_term=curso%20forense%20digital&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=21487757259&gbraid=0AAAAADROdO3ZId6KpDOdr5Y43T3nf9WRe&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_lv2f3pSjrQLaoZCrNAtX5OgVsjjQQSIaQ8kZzxzyYdILQoh_E2EcOIaAlK8EALw_wcB,8-15 LPA
Cloud Engineer,"AWS,Azure,GCP,Docker,Kubernetes,Networking",https://cdn-icons-png.flaticon.com/512/6584/6584876.png,Manages cloud infrastructure and cloud-based services.,https://www.youtube.com/watch?v=2LaAJq1lB1Q&list=PL9ooVrP1hQOFtZ5oAAeOgi_nH-txMcDMu,8-16 LPA
DevOps Engineer,"Jenkins,Docker,Kubernetes,Linux,Git,CI/CD",https://cdn-icons-png.flaticon.com/512/5772/5772997.png,Automates deployment pipelines and manages system reliability.,https://www.youtube.com/watch?v=hQcFE0RD0cQ,9-18 LPA
Software Tester,"Selenium,Java,Python,Manual Testing,Automation Testing",https://cdn-icons-png.flaticon.com/512/6554/6554094.png,Tests software manually and automatically to ensure quality.,https://www.youtube.com/watch?v=sO8eGL6SFsA,4-7 LPA
Game Developer,"C++,Unity,Unreal Engine,3D Modeling,Animation",https://cdn-icons-png.flaticon.com/512/2029/2029420.png,Develops games using engines like Unity and Unreal Engine.,https://youtu.be/4_92hSf0dJY?si=1YUa7gqbpb0Bxh8s,6-12 LPA
Blockchain Developer,"Solidity,Ethereum,Smart Contracts,Web3.js,Cryptography",https://cdn-icons-png.flaticon.com/512/13140/13140046.png,Builds decentralized applications using blockchain technology.,https://www.youtube.com/watch?v=6aF6p2VUORE,8-16 LPA
IoT Developer,"Python,Arduino,Raspberry Pi,Sensors,Networking",https://cdn-icons-png.flaticon.com/512/8433/8433387.png,Develops smart devices using sensors and embedded systems.,https://www.youtube.com/watch?v=h0gWfVCSGQQ,6-12 LPA
Embedded Systems Engineer,"C,C++,Microcontrollers,Electronics,RTOS",https://cdn-icons-png.flaticon.com/512/18631/18631472.png,Designs and programs hardware-based embedded systems.,https://www.udemy.com/course/become-an-embedded-system-engineer-30-days-challenge-embedded-system/?couponCode=PMNVD1525&utm_campaign=Search_Keyword_Beta_Prof_la.ES_cc.ROW-Spanish&utm_source=google&utm_medium=paid-search&portfolio=ROW-Spanish&utm_audience=mx&utm_tactic=nb&utm_term=gan%20tutorial&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=21487757259&gbraid=0AAAAADROdO3ZId6KpDOdr5Y43T3nf9WRe&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_lt-ySX6ghE7gt8jRGKFro5uNRfnmNGyVo5ULPGQd7VH8ExqZAOQKCYaAuS3EALw_wcB,6-12 LPA
Robotics Engineer,"Python,ROS,Sensors,Electronics,Machine Learning",https://cdn-icons-png.flaticon.com/512/18477/18477493.png,"Builds intelligent robots using sensors, electronics, and AI.",https://www.coursera.org/courses?query=robotics%20engineer&utm_medium=sem&utm_source=gg&utm_campaign=b2c_india_x_multi_ftcof_career-academy_cx_dr_bau_gg_pmax_gc_in_all_m_hyb_24-03_desktop&campaignid=21104989118&adgroupid=&device=c&keyword=&matchtype=&network=x&devicemodel=&creativeid=&assetgroupid=6544944776&targetid=&extensionid=&placement=&gad_source=1&gad_campaignid=21104990591&gbraid=0AAAAADdKX6YHkgMbYsMiQPkadyPpqRcKF&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_lsE2vdQZB8cBnW3sbo3koQ7ENAmEnu-nkxAmNLvUzBTXcX_G26a-7saAgIEEALw_wcB,7-14 LPA
SEO Specialist,"Google Analytics,Keyword Research,SEO Tools,HTML,Content Strategy",https://cdn-icons-png.flaticon.com/512/11461/11461013.png,Improves website ranking using SEO strategies and analytics.,https://youtu.be/tqL5OOTycMo?si=GoQjUvCvvHSMcCWn,4-8 LPA
Digital Marketer,"SEO,Social Media,Google Ads,Content Marketing,Analytics",https://cdn-icons-png.flaticon.com/512/8644/8644426.png,Promotes brands using digital marketing platforms and tools.,https://youtu.be/kunkYTKFNtI?si=RDiEG_Wjo4gJ0pCB,5-9 LPA
Content Writer,"SEO,Grammarly,Research,Creativity,Blogging",https://cdn-icons-png.flaticon.com/512/3079/3079976.png,Creates engaging written content for blogs and websites.,https://youtu.be/J2h0Xb0WNwQ?si=Pj_1IaGN7vnTdA3O,3-6 LPA
Graphic Designer,"Photoshop,Illustrator,CorelDraw,Creativity,Typography",https://cdn-icons-png.flaticon.com/512/4661/4661316.png,Designs visual graphics using creative design tools.,https://www.youtube.com/watch?v=e_dv7GBHka8,4-8 LPA
Animator,"After Effects,Blender,3D Modeling,Storyboarding,Creativity",https://cdn-icons-png.flaticon.com/512/16498/16498057.png,Creates animations and visual effects for media content.,https://youtu.be/N-HFQeZvaP0?si=sjBpyADMrLzTddl4,4-9 LPA
Video Editor,"Premiere Pro,After Effects,Final Cut,Storytelling,Creativity",https://cdn-icons-png.flaticon.com/512/8164/8164154.png,Edits videos and creates engaging visual stories.,https://www.youtube.com/watch?v=sNjyOSADDxE,4-8 LPA
Social Media Manager,"Content Creation,Analytics,SEO,Communication,Scheduling Tools",https://cdn-icons-png.flaticon.com/512/4104/4104723.png,Manages social media content and audience engagement.,https://youtu.be/WDH9w2glKPY?si=09Fg1Abz2zZKw6Oh,6-12 LPA
Product Manager,"Agile,Jira,Communication,Roadmap Planning,UX Knowledge",https://cdn-icons-png.flaticon.com/512/2721/2721282.png,Plans product features and aligns teams with business goals.,https://youtu.be/abA-QZzbon0?si=P_xPjCNX-ZnV9rYC,6-12 LPA
Project Manager,"MS Project,Agile,Communication,Risk Management,Leadership",https://cdn-icons-png.flaticon.com/512/10857/10857083.png,"Manages projects, timelines, risks, and team coordination.",https://www.youtube.com/watch?v=uWPIsaYpY7U,6-10 LPA
Network Engineer,"Networking,Cisco,Troubleshooting,Firewalls,Security",https://cdn-icons-png.flaticon.com/512/6024/6024190.png,Designs and maintains secure computer networks.,https://www.coursera.org/career-academy/roles/network-engineer-architect?utm_medium=sem&utm_source=gg&utm_campaign=b2c_india_x_multi_ftcof_career-academy_cx_dr_bau_gg_pmax_gc_in_all_m_hyb_24-03_desktop&campaignid=21104989118&adgroupid=&device=c&keyword=&matchtype=&network=x&devicemodel=&creativeid=&assetgroupid=6566742186&targetid=&extensionid=&placement=&gad_source=1&gad_campaignid=21104990591&gbraid=0AAAAADdKX6YHkgMbYsMiQPkadyPpqRcKF&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_lt5SY3pW0n3XSYOGC_eiYcQc-UvJfJzET5A4E98VDZg8Rcvlvhx96oaAmB5EALw_wcB,5-9 LPA
System Administrator,"Linux,Windows Server,Networking,Troubleshooting,Security",https://cdn-icons-png.flaticon.com/512/2082/2082875.png,"Manages servers, operating systems, and IT infrastructure.",https://www.youtube.com/watch?v=EaInx4QCjjw&list=PLBjGa4dFIQl-MWFQkGo36LILdO8DrquSR,4-7 LPA
IT Support Specialist,"Troubleshooting,Communication,Windows,Networking,Ticketing Systems",https://cdn-icons-png.flaticon.com/512/11431/11431152.png,Provides technical support and resolves IT issues.,https://youtu.be/BNbPsiCGQzw?si=wAUDDi_43-DAYS3t,8-16 LPA
Cloud Architect,"AWS,Azure,GCP,Cloud Security,Architecture Design",https://cdn-icons-png.flaticon.com/512/2316/2316109.png,Designs scalable and secure cloud system architectures.,https://www.youtube.com/watch?v=ZfZ_ManKnlM,9-18 LPA
Cybersecurity Engineer,"Ethical Hacking,Network Security,Python,Penetration Testing",https://cdn-icons-png.flaticon.com/512/7349/7349635.png,Secures applications through ethical hacking and testing.,https://www.youtube.com/watch?v=MvrgFOwEgdA,9-18 LPA
Data Engineer,"Python,SQL,ETL,Big Data,Spark",https://cdn-icons-png.flaticon.com/512/3749/3749629.png,Builds data pipelines and manages large-scale data systems.,https://www.youtube.com/live/o4rF4hSf9D8?si=TgcWDt5FD3rdkeSo,10-22 LPA
AI Researcher,"Python,Machine Learning,Deep Learning,Research,Mathematics",https://cdn-icons-png.flaticon.com/512/18784/18784944.png,Conducts AI research and develops advanced models.,https://youtu.be/44l-xL7OKLo?si=RnIARkRvuBIPXbxq,10-20 LPA
Computer Vision Engineer,"Python,OpenCV,TensorFlow,Deep Learning,Image Processing",https://cdn-icons-png.flaticon.com/512/5760/5760802.png,Builds systems for image and video analysis using AI.,https://www.youtube.com/live/E-HSXRvL9Ik?si=4fSsnh_6i3T9dv9L,9-18 LPA
NLP Engineer,"Python,NLP,Machine Learning,Transformers,Text Analysis",https://cdn-icons-png.flaticon.com/512/10306/10306045.png,Develops text-based AI systems like chatbots and NLP tools.,https://www.youtube.com/watch?v=-33oXx0TwHI,6-12 LPA
Database Administrator,"SQL,Oracle,MySQL,Performance Tuning,Backup & Recovery",https://cdn-icons-png.flaticon.com/512/17723/17723737.png,"Manages databases, performance tuning, and backups.",https://www.udemy.com/course/complete-microsoft-sql-server-database-administration-course/?utm_campaign=Search_DSA_Alpha_Prof_la.EN_cc.India_Subs&utm_source=google&utm_medium=paid-search&portfolio=India&utm_audience=mx&utm_tactic=nb&utm_term=&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=22900574864&gbraid=0AAAAADROdO2UZMi-tAsHOYHXZny3d1N1A&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_ltSDAs0rbDWH0OL_qR-rV8z9dBsT6ZijcojeurOUOqNMb7COWX0UN0aAgfbEALw_wcB,8-15 LPA
SAP Consultant,"SAP Modules,ERP,Finance,Supply Chain,Customization",https://cdn-icons-png.flaticon.com/512/10329/10329772.png,Implements ERP solutions for business operations.,https://www.youtube.com/watch?v=8Tpf1Pr8XFo&list=PLK-n_q2enVedy0qsevT5tsdLOv5qw1Rzs,6-12 LPA
CRM Specialist,"Salesforce,Zoho,HubSpot,Communication,Customer Data Management",https://cdn-icons-png.flaticon.com/512/17289/17289217.png,Manages customer relationship platforms and data.,https://youtu.be/bqW8-TvWvqk?si=uJGGIBvLD3Ifbe0P,7-14 LPA
Ethical Hacker,"Python,Kali Linux,Penetration Testing,Networking,Security",https://cdn-icons-png.flaticon.com/512/18240/18240552.png,Performs ethical hacking to identify security weaknesses.,https://youtu.be/2eLJNBroFrg?si=RMsSFRQhD-w_Dfvy,6-12 LPA
QA Analyst,"Manual Testing,Automation Testing,Selenium,Jira,Test Cases",https://cdn-icons-png.flaticon.com/512/4157/4157277.png,Ensures software quality through testing and documentation.,https://www.udemy.com/course/the-complete-quality-assurance/?utm_campaign=Search_Keyword_Gamma_NonP_la.ES_cc.ROW-Spanish&utm_source=google&utm_medium=paid-search&portfolio=ROW-Spanish&utm_audience=mx&utm_tactic=nb&utm_term=&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=21487757256&gbraid=0AAAAADROdO3ori2O9fo_cvMmtwVm2_gb-&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_ltP1CrisBE1sGgc4q5iu35fcMICqTg_1HTbuBYE1Ql7AppaLTCy7oMaAmySEALw_wcB,7-15 LPA
Game Designer,"Creativity,Unity,Storyboarding,C#,Animation",https://cdn-icons-png.flaticon.com/512/2422/2422084.png,"Designs game concepts, mechanics, and player experience.",https://www.udemy.com/topic/game-design/?utm_campaign=Search_Keyword_Beta_Prof_la.ES_cc.ROW-Spanish&utm_source=google&utm_medium=paid-search&portfolio=ROW-Spanish&utm_audience=mx&utm_tactic=nb&utm_term=curso%20de%20dise%C3%B1o%20de%20juegos&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=21487757259&gbraid=0AAAAADROdO3ZId6KpDOdr5Y43T3nf9WRe&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_lvdmiyEWZrAHa9rAxg7asR2xAMqd8UeGv07MpUl5cxO2XJCxC-kjakaAqLeEALw_wcB,8-16 LPA
AR/VR Developer,"Unity,C#,3D Modeling,Blender,VR/AR SDK",https://cdn-icons-png.flaticon.com/512/1509/1509638.png,Builds immersive AR and VR applications.,https://techxr.co/courses/1,7-14 LPA
IoT Security Expert,"Networking,Python,Security,Sensors,Embedded Systems",https://cdn-icons-png.flaticon.com/512/17363/17363416.png,Secures IoT devices and embedded systems from threats.,https://www.udemy.com/course/security-in-iot-pna/?srsltid=AfmBOorFOtdgfn6MynTCJ6CE0GczSJW1x3sxu8H0Ue-S6VUlXSDe37kB,6-12 LPA
Mobile Game Developer,"Unity,C#,Animation,Storytelling,Monetization",https://cdn-icons-png.flaticon.com/512/8602/8602124.png,Develops mobile games and monetization strategies.,https://www.udemy.com/topic/mobile-game-development/?utm_campaign=Search_Keyword_Beta_Prof_la.ES_cc.ROW-Spanish&utm_source=google&utm_medium=paid-search&portfolio=ROW-Spanish&utm_audience=mx&utm_tactic=nb&utm_term=curso%20de%20dise%C3%B1o%20de%20juegos&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=21487757259&gbraid=0AAAAADROdO3ZId6KpDOdr5Y43T3nf9WRe&gclid=Cj0KCQiAxonKBhC1ARIsAIHq_luoE1rqII8SQVXK16sfM54qzGXvnobOFm6mOFgFEM_cCFBgI8dee48aAjq3EALw_wcB,6-12 LPA
Voice UI Designer,"Speech Recognition,UX Design,Python,AI,Prototyping",https://cdn-icons-png.flaticon.com/512/1464/1464780.png,Designs voice-based user interfaces using AI and UX.,https://www.udemy.com/course/voice-interface-design/?srsltid=AfmBOorrli3_54ITw_irVOTvgmEiH-ypwIZgjI-3tq4sajZseCtC4VXJ,5-10 LPA
Penetration Tester,"Ethical Hacking,Networking,Python,Security Tools,Reporting",https://cdn-icons-png.flaticon.com/512/10961/10961506.png,Performs penetration testing and security reporting.,https://youtu.be/3Kq1MIfTWCE?si=bw-PBDz6Gj3bgBFR,4-9 LPA
Digital Illustrator,"Photoshop,Illustrator,Drawing,Creativity,Typography",https://cdn-icons-png.flaticon.com/512/2784/2784575.png,Creates digital illustrations and artwork.,https://youtu.be/5_aSDG1Ppqs?si=buG65AK0YRakhpx7,6-12 LPA
3D Modeler,"Blender,Maya,3D Modeling,Texturing,Animation",https://cdn-icons-png.flaticon.com/512/2818/2818038.png,Builds 3D models and animations for games and media.,https://www.udemy.com/topic/3d-modeling/?srsltid=AfmBOopIse5aIx0eW7nr1_P-fDPBICdNjEKuwWy4ltc5xkS8Y5Sbu0h7,5-9 LPA
